 No,       Img X,       Img Y, RA cat (deg), Dec cat (deg),    Mag, -2.5*LSP,    Cat X,   Cat Y, RA img (deg), Dec img (deg), Err amin,  Err px, Direction
 54, 1324.029851,  875.992537,   271.837500,     +9.563889,  +3.73,    -5.32,  1323.76,  876.16,   271.877726,     +9.613049,     3.79,    0.32,    +148.5
 55, 1254.866967,  762.444831,   266.973333,     +2.707222,  +3.75,    -5.95,  1254.70,  761.29,   266.965315,     +2.729179,     1.40,    1.17,     -98.0
 56, 1055.730983,  873.201762,   254.417083,     +9.375000,  +3.20,    -6.18,  1055.38,  872.62,   254.391272,     +9.387441,     1.70,    0.68,    -121.1
 57, 1128.638920,  946.912719,   258.662083,    +14.390278,  +3.48,    -7.31,  1128.45,  947.25,   258.682389,    +14.420136,     2.15,    0.39,    +119.3
 58,  986.100222, 1077.383042,   247.555000,    +21.489722,  +2.77,    -7.16,   986.22, 1077.90,   247.550527,    +21.505739,     0.99,    0.53,     +76.7
 59, 2166.193172, 1161.440296,   332.550000,     +6.197778,  +3.53,    -5.76,  2166.26, 1162.27,   332.528606,     +6.214441,     1.62,    0.83,     +85.2
 60, 1570.904612, 1667.879455,   319.645000,    +62.585556,  +2.44,    -7.45,  1571.59, 1669.11,   319.781473,    +62.623159,     4.39,    1.40,     +61.0
 61, 1631.936233, 1656.106279,   325.876667,    +58.780000,  +4.08,    -6.29,  1632.48, 1657.39,   325.980055,    +58.763155,     3.37,    1.40,     +67.0
 62, 1535.841840, 1632.316319,   311.322500,    +61.838889,  +3.43,    -6.27,  1536.54, 1633.71,   311.440451,    +61.896027,     4.78,    1.56,     +63.3
 63, 1394.557367, 1655.324343,   288.138750,    +67.661667,  +3.07,    -6.80,  1394.12, 1656.13,   288.156759,    +67.732139,     4.25,    0.92,    +118.8
 64, 2148.905085, 2155.372881,    32.385833,    +34.987222,  +3.00,    -6.17,  2149.94, 2155.31,    32.429708,    +34.961026,     2.67,    1.04,      -3.5
 65, 1549.656101, 1177.435816,   292.680417,    +27.959722,  +3.08,    -7.00,  1549.74, 1177.03,   292.661950,    +27.954309,     1.03,    0.41,     -77.7
 66, 1449.146535, 1216.905524,   284.735833,    +32.689444,  +3.24,    -6.79,  1448.70, 1216.06,   284.748975,    +32.643075,     2.86,    0.96,    -118.1
 67, 1520.322674, 1397.763372,   296.243750,    +45.130833,  +2.87,    -6.87,  1520.30, 1396.30,   296.246807,    +45.043128,     5.26,    1.47,     -90.9
 68, 1286.903660, 1445.478540,   269.151667,    +51.488889,  +2.23,    -7.76,  1285.67, 1444.90,   269.140397,    +51.446212,     2.60,    1.37,    -154.9
 69, 1246.276922, 1134.325790,   266.614583,    +27.720556,  +3.42,    -6.22,  1246.71, 1135.12,   266.627627,    +27.707384,     1.05,    0.91,     +61.2
 70, 1669.082759,  964.132414,   296.565000,    +10.613333,  +2.72,    -7.53,  1668.96,  965.22,   296.561138,    +10.666866,     3.22,    1.10,     +96.7
 71, 1812.343883, 1085.488823,   309.387500,    +14.595278,  +3.63,    -5.83,  1811.38, 1086.05,   309.413385,    +14.673801,     4.95,    1.11,    +149.8
 72, 1156.284012, 1610.198173,   245.997917,    +61.514167,  +2.74,    -7.44,  1157.18, 1609.68,   245.913676,    +61.514488,     2.41,    1.03,     -30.2
 73, 1237.699091, 1638.194007,   257.196667,    +65.714722,  +3.17,    -6.76,  1237.64, 1638.24,   257.161619,    +65.717871,     0.89,    0.08,    +141.3
 74, 1053.738466, 1632.544083,   231.232500,    +58.966111,  +3.29,    -6.13,  1054.34, 1632.23,   231.311749,    +58.982389,     2.64,    0.68,     -27.8
 75, 2176.589215, 1829.176051,     9.832083,    +30.860833,  +3.27,    -6.09,  2177.06, 1828.56,     9.789457,    +30.857053,     2.21,    0.78,     -52.7
 76,  672.010351, 1314.059519,   221.246667,    +27.074167,  +2.70,    -6.47,   671.00, 1313.70,   221.208767,    +27.063891,     2.12,    1.08,    -160.6
